tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
AVA000ETT14000037,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One Unit of Alpha Spectrometer System for Lab Testing",2015-02-10,Awarded to Suppliers,Analytical Technologies Pte Ltd,145000
AVA000ETT14000038,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One unit of  Liquid Scintillation Spectrometer",2015-04-08,Awarded to Suppliers,PerkinElmer Singapore Pte Ltd,120150
AVA000ETT14000040,Agri-food and Veterinary Authority,"Tender for the Provision of Labour, Materials, Machinery, Equipment and other Logistics Arrangements to carry out Parts Replacement and Reinstatement of the Aquaculture Water System at Animal & Plant Health Centre (APHC), 6 Perahu Road, Singapore 718827",2015-05-07,Awarded to Suppliers,SGP MANAGERS & ENGINEERS PTE. LTD.,78663.14
AVA000ETT14000041,Agri-food and Veterinary Authority,"Tender for the Supply, Installation and Commissioning of One Unit of Nucleic Acid Extraction System",2015-07-10,Awarded to Suppliers,SCIENCEWERKE PTE LTD,75000
AVA000ETT14000042,Agri-food and Veterinary Authority,Tender for the supply and installation of Ultra-Filtration System at Marine Aquaculture Centre (MAC) on St John's Island,2015-05-14,Awarded to Suppliers,CUTECH SOLUTIONS & SERVICES PTE. LTD.,104500
AVA000ETT14000043,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",2015-02-27,Awarded to Suppliers,NDT INSTRUMENTS PTE LTD,231925
AVA000ETT14000043,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",2015-02-27,Awarded to Suppliers,SECOM (SINGAPORE) PTE LTD,231925
AVA000ETT14000044,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Inductively Coupled Plasma  Mass Spectrometer (ICP-MS) & 1 unit of Inductively Coupled Plasma  Optical Emission Spectrometer (ICP-OES)",2015-04-22,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,704568.55
AVA000ETT14000045,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation and Commissioning Of Two Units (2) of Ultra High Performance Liquid Chromatograph- Triple Quadrupole Mass Spectrometer Systems (UHPLC/MS/MS)",2015-03-30,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,883048.42
AVA000ETT14000046,Agri-food and Veterinary Authority,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to re-construct, screed and apply epoxy coat to the floor of the Virology BSL3 Lab at Animal & Plant Health Centre",2015-05-08,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,128888
AVA000ETT14000047,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Gas Chromatograph-Triple Quadrupole Mass Spectrometer (GC-MS/MS) System",2015-04-16,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,184100
AVA000ETT14000051,Agri-food and Veterinary Authority,Tender for the venue and catering services for urban sustanability R&D congress 2015,2015-03-17,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,240887.72
AVA000ETT14000052,Agri-food and Veterinary Authority,"Tender for the supply, installation and commissioning of one (1) unit of Media Preparator",2015-08-24,Awarded to Suppliers,QUINTECH LIFE SCIENCES PTE. LTD.,40535
AVA000ETT15000001,Agri-food and Veterinary Authority,Tender for the Maintenance of Intelligent Food Approval and Safety Tracking System,2015-07-08,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,1491900
AVA000ETT15000002,Agri-food and Veterinary Authority,"Tender for the provision of multi-disciplinary team(Architectural, Civil & Structural, Mechanical & Electrical and Quantity Surveying) Consultancy Services for the development of New Animal Facility cum Education Centre",2015-05-14,Awarded to Suppliers,MODE ARCHITECTS PRIVATE LIMITED,386000
AVA000ETT15000003,Agri-food and Veterinary Authority,Rectification of building defects at Marine Aquaculture Centre,2015-04-24,Awarded to Suppliers,UNITED SPECIALISTS PTE LTD,85000
AVA000ETT15000004,Agri-food and Veterinary Authority,Tender for the provision of integrated facilities management services (IFM) at the Marine Aquaculture Centre (MAC),2015-05-21,Awarded to Suppliers,CA FACILITIES PTE. LTD.,7731891
AVA000ETT15000005,Agri-food and Veterinary Authority,Tender for the underwater maintenance works at AVA Fish Farm off St John's Island,2015-05-13,Awarded to Suppliers,DATAWIN ENTERPRISES,119900
AVA000ETT15000007,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply of dog and cat food,2015-08-28,Awarded to Suppliers,B2K PET PRODUCTS PTE. LTD.,145364.69
AVA000ETT15000007,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply of dog and cat food,2015-08-28,Awarded to Suppliers,PETSPLAY,145364.69
AVA000ETT15000007,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply of dog and cat food,2015-08-28,Awarded to Suppliers,Wildlife & Veterinary Supplies,145364.69
AVA000ETT15000009,Agri-food and Veterinary Authority,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,2015-05-31,Awarded to No Suppliers,na,0
AVA000ETT15000013,Agri-food and Veterinary Authority,Tender for the Provision of Medical Services for AVA Officers,2015-07-09,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,214894.97
AVA000ETT15000015,Agri-food and Veterinary Authority,Tender for the supply and delivery of fish feeds,2015-08-14,Awarded to No Suppliers,na,0
AVA000ETT15000016,Agri-food and Veterinary Authority,Tender for event management services for AVA's Public Education Programmes,2015-09-28,Awarded to Suppliers,GEES MARKETING PTE. LTD.,1195000.05
AVA000ETT15000017,Agri-food and Veterinary Authority,Tender for planimetric survey and cadastral survey works at Lim Chu Kang and Sungei Tengah,2015-07-23,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.,198988
AVA000ETT15000018,Agri-food and Veterinary Authority,Tender for the provision of services for clearance and disposal of vegetation and trees at Sungei Tengah Agrotech Park,2015-08-06,Awarded to Suppliers,KIAT LEE LANDSCAPE & BUILDING PTE LTD,326040
AVA000ETT15000021,Agri-food and Veterinary Authority,Tender for soil investigation works at Lim Chu Kang and Sungei Tengah,2015-08-14,Awarded to Suppliers,SOIL INVESTIGATION PTE. LIMITED,318800
AVA000ETT15000022,Agri-food and Veterinary Authority,Tender for the supply and delivery of three (3) executive saloon cars,2015-10-29,Awarded to Suppliers,CYCLE & CARRIAGE KIA PTE LTD,309343.98
AVA000ETT15000023,Agri-food and Veterinary Authority,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,2015-07-13,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,88033
AVA000ETT15000026,Agri-food and Veterinary Authority,Tender for the Provision of corrective maintenance spares for diesel generator sets (Cummins KTA38-G5) at Marine Aquaculture Centre,2015-08-19,Awarded to Suppliers,CA FACILITIES PTE. LTD.,37476.17
AVA000ETT15000027,Agri-food and Veterinary Authority,"Tender for the Provision of bus transportation services for Agri-Bio Park, Lim Chu Kang",2015-08-20,Awarded to Suppliers,BRICKSTON TRANSPORT SERVICE,134400
AVA000ETT15000029,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",2015-09-25,Awarded to Suppliers,HONG HENG FISHERY PTE. LTD.,13450
AVA000ETT15000029,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",2015-09-25,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,13450
AVA000ETT15000029,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",2015-09-25,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,13450
AVA000ETT15000031,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",2015-09-22,Awarded to Suppliers,KIM SUM FISH AGENT,6293
AVA000ETT15000031,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",2015-09-22,Awarded to Suppliers,LIE MENG FISH MERCHANT,6293
AVA000ETT15000031,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",2015-09-22,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,6293
AVA000ETT15000039,Agri-food and Veterinary Authority,TENDER FOR THE TWO-YEAR COMPREHENSIVE MAINTENANCE AND REPAIR SERVICES FOR 16 UNITS OF AGILENT BRAND GAS AND LIQUID CHROMATOGRAPHY SYSTEMS AT AGRI-FOOD & VETERINARY AUTHORITY NO. 10 PERAHU ROAD (718837),2015-12-24,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,107688
AVA000ETT15000040,Agri-food and Veterinary Authority,Tender for Contact Centre Services,2015-11-27,Awarded to Suppliers,TELEMARKETING ASIA (SINGAPORE) PTE LTD,1567142.43
AVA000ETT15000042,Agri-food and Veterinary Authority,Tender for the proposed erection of an Animal Facility on Lot 03491A PT MK11 at Sungei Tengah Road (Western Water Catchment Planning Area),2015-12-15,Awarded to Suppliers,ZHENGDA CORPORATION PTE. LTD.,6695472
AVA000ETT15000046,Agri-food and Veterinary Authority,Tender for Term Contract for the Provision of Comprehensive Maintenance of Motor Vehicles for a period of three (3) years (where the 3rd year is optional),2015-12-30,Awarded to Suppliers,KING AUTO TECHNOLOGIES & ENGINEERING PTE. LTD.,121140
AVA000ETT15000054,Agri-food and Veterinary Authority,Tender for the provision of waste disposal services to clear dead fish,2015-01-12,Awarded to Suppliers,NSL OILCHEM WASTE MANAGEMENT PTE. LTD.,28725
BCA000ETT14000041,Building and Construction Authority,"Nominated Sub-Contract For The Design, Supply, Delivery, Install And Testing & Commissioning Of Rotating Platform For The Proposed BCA User Test Bed Facility",2015-03-03,Awarded to Suppliers,BHL CONSTRUCTION PTE. LTD.,1032000
BCA000ETT14000053,Building and Construction Authority,"Build, Operate and Manitain Contract for the Proposed BCA User Test Bed Facility and Acclimatization Lounge at the Rooft Level of an 8 Storey Building on LOT 14256T MK18 at BCA Academy, 200 Braddell Road (Bishan Planning Area)",2015-03-02,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,4551700
BCA000ETT14000057,Building and Construction Authority,"PROPOSED IMPROVEMENT WORKS TO PRIVATE ESTATES FOR WESTERN CLUSTER COMPRISING CHUA CHU KANG, JURONG, TANJONG PAGAR AND WEST COAST TOWNS UNDER THE INTERIM ESTATE UPGRADING PROGRAMME (I-EUP)  PHASE 3",2015-04-22,Awarded to Suppliers,MASTERCRAFT SYSTEMS PRIVATE LIMITED,1418000
BCA000ETT14000059,Building and Construction Authority,"PROPOSED IMPROVEMENT WORKS TO PRIVATE ESTATES FOR CENTRAL CLUSTER COMPRISING ALJUNIED, ANG MO KIO-YIO CHU KANG, BISHAN-TOA PAYOH, HOLLAND-BUKIT PANJANG, HOUGANG, PASIR RIS-PUNGGOL, POTONG PASIR AND SEMBAWANG-NEE SOON TOWNS UNDER THE INTERIM ESTATE UPGRADING PROGRAMME (I-EUP)  PHASE 3",2015-02-11,Awarded to Suppliers,JEI FONG ENGINEERING PTE. LTD.,788000
BCA000ETT14000061,Building and Construction Authority,Appointment of an integrated marketing communications agency to conceptualise and manage the publicity campaign for Singapore Green Building Day 2015,2015-01-16,Awarded to Suppliers,XOD BOX PTE. LTD.,323002.1
BCA000ETT14000062,Building and Construction Authority,"PROPOSED PAINTING & SIGNAGE TO ENTIRE CAMPUS AND A&A WORKS TO CLASSROOMS, LECTURE ROOMS, DESIGN STUDIOS, IT CLASSROOM, OFFICE AND TOILETS TO BLOCK C & H IN BCA ACADEMY",2015-01-30,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.,4068330
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,ECAS-EJ CONSULTANTS PTE LTD,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,KTP CONSULTANTS PTE LTD,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,Lim Kim Cheong Consultants,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,Meinhardt (Singapore) Pte Ltd,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,PARSONS BRINCKERHOFF PTE. LTD.,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,RSP Architects Planners & Engineers (Pte) Ltd,8
BCA000ETT14000065,Building and Construction Authority,PROVISION OF PROFESSIONAL ENGINEERING CONSULTANCY SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND ANOTHER (2) YEARS,2015-09-21,Awarded to Suppliers,T.Y.LIN INTERNATIONAL PTE. LTD.,8
BCA000ETT14000066,Building and Construction Authority,"NOMINATED SUB-CONTRACT FOR THE DESIGN,SUPPLY,DELIVERY,INSTALL & TESTING & COMMISSIONING OF DATA ACQUISITION BUILDING MANAGEMENT SYSTEM FOR THE PROPOSED BCA USER TEST BED FACILITY",2015-03-30,Awarded to Suppliers,QUANTUM AUTOMATION PTE LTD,295000
BCA000ETT14000068,Building and Construction Authority,Term contract for evaluation of essential construction materials (Sand & Granite),2015-01-30,Awarded to Suppliers,ADMATERIALS TECHNOLOGIES PTE. LTD.,7025
BCA000ETT14000068,Building and Construction Authority,Term contract for evaluation of essential construction materials (Sand & Granite),2015-01-30,Awarded to Suppliers,Setsco Services Pte Ltd,7025
BCA000ETT14000068,Building and Construction Authority,Term contract for evaluation of essential construction materials (Sand & Granite),2015-01-30,Awarded to Suppliers,TUV SUD AL TECHNOLOGIES PTE. LTD.,7025
BCA000ETT14000068,Building and Construction Authority,Term contract for evaluation of essential construction materials (Sand & Granite),2015-01-30,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,7025
BCA000ETT14000069,Building and Construction Authority,APPOINTMENT OF A VENDOR TO MANAGE BCA'S BUILD IT GREEN (BIG) CLUB FOR A PERIOD OF 2 YEARS,2015-01-15,Awarded to Suppliers,Star Horizon Learning Pte Ltd,124000
